name,glass,glass-size,instructions
Stockholm 75,Cocktail Glass,6 or more ounces,"Rim chilled cocktail glass with lemon and sugar. Shake vodka, syrup, and lemon juice with ice. Strain into glass. Fill with Champagne"
The Delmarva Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass. Garnish with mint.
Sputnik,Red-Wine Glass,12 to 24 ounces,Shake with ice until frothy and pour into red-wine glass. Garnish with peach.
Gotham,Old-Fashioned Glass,6 to 8 ounces,Pour absinthe into chilled old-fashioned glass and swirl to coat. Shake brandy and bitters with ice and strain into glass. Add lemon twist.
De La Louisiane,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass. Garnish with cherry.
The Debonair,Cocktail Glass,6 or more ounces,Stir and strain into chilled cocktail glass. Add lemon twist.
Soviet,Old-Fashioned Glass,6 to 8 ounces,Shake with ice and strain into ice-filled old-fashioned glass. Add lemon twist.
Daisy Dueller,Highball Glass,7 to 10 ounces,Shake first four ingredients with ice. Strain into chilled highball glass. Add ice and fill with soda. Garnish with orange and lemon.
Sonic Blaster,Collins Glass,14 to 16 ounces,Shake and pour into ice-filled Collins glass. Garnish with orange and lime.
Creole Lady,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass. Garnish with cherry.
Rum Coooler,Collins Glass,14 to 16 ounces,"In collins glass, dissolve powdered sugar in carbonated water. Stir. Fill glass with ice and add rum. Fill with carbonated water or ginger ale and stir again. Insert a spiral of orange or lemon peel (or both) and dangle end over rim of glass."
Siberian Sleighride,Brandy Snifter,8 to 12 ounces,Shake with ice and strain into chilled snifter. Sprinkle with chocolate shavings.
Cotton Club Flip,Old-Fashioned Glass,6 to 8 ounces,Shake first four ingredients without ice. Add ice and shake again. Strain into ice-filled old-fashioned glass. Top with bitters. Garnish with cotton candy.
Golden Dawn,Old-Fashioned Glass,6 to 8 ounces,Shake first four ingredients with ice and strain into ice-filled oldfashioned glass. Add grenadine.
Sidecar,Cocktail Glass,6 or more ounces,Shake with ice and strain into a chilled cocktail glass.
Shalom,Old-Fashioned Glass,6 to 8 ounces,Shake with ice and strain into ice-filled old-fashioned glass. Add orange wheel.
Commodore Cocktail,Champagne Flute,6 to 8 ounces,Shake with ice and strain into chilled champagne flute.
Sea Breeze,Highball Glass,7 to 10 ounces,Pour into ice-filled highball glass. Garnish with lime.
Screwdriver,Highball Glass,7 to 10 ounces,Pour into ice-filled highball glass. Stir well.
Coffee Old-Fashioned,Old-Fashioned Glass,6 to 8 ounces,"Pour bourbon, syrup, bitters, and coffee into ice-filled old-fashioned glass and stir. Add soda water and stir again. Garnish with orange and cherry."
Dry Martini,,,serve with an olive. 
Salty Dog,Highball Glass,7 to 10 ounces,Rim highball glass with lemon and salt. Fill with ice. Add vodka and grapefruit juice and stir.
Dr. Cook,Red-Wine Glass,12 to 24 ounces,Shake with ice and strain into wine glass.
Dillatini Cocktail,,,Serve with a dilly bean.
Chi-Town Flip,Collins Glass,14 to 16 ounces,Shake first six ingredients without ice. Add ice and shake again. Strain into ice-filled Collins glass. Add bitters and top with nutmeg.
Chef's Pain,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Sampan Shipwreck A,Cocktail Glass,6 or more ounces,Shake well with ice. Double-strain into chilled cocktail glass. Perch pineapple on rim of glass.
Chas,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass. Add orange twist.
Goat's Delight,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Russian Bear Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass.
Character Development,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass. Add grapefruit twist.
Ruby Red,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass. Add grapefruit twist.
Chaplin,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass. Add lemon twist.
Rouxby Red,Cocktail Glass,6 or more ounces,Rim chilled cocktail glass with lemon and salt. Shake remaining ingredients with ice and strain into glass.
Rosemary Clementine Sparkle,Cocktail Glass,6 or more ounces,"Squeeze clementine into mixing glass. Twist rind and add to glass. Add vodka, lemon juice, syrup, and rosemary sprig. Add ice and shake. Strain into chilled cocktail glass. Top with sparkling wine or Champagne. Garnish with remaining rosemary sprig."
Chapel Hill,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass. Add orange twist.
Robin's Nest,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Chancellor Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass. Add lemon twist.
Cafe di Saronno,Mug,,Add 1 oz. Amaretto di Saronno to a cup of black coffee. Top with whipped cream.
Carre Reprise,Old-Fashioned Glass,6 to 8 ounces,Stir with ice. Strain into ice-filled old-fashioned glass. Add lemon twist.
Gilroy Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Redhead Martini,Cocktail Glass,6 or more ounces,Muddle halved strawberries in mixing glass with lemon juice and syrup. Add vodka and ice and shake well. Strain into chilled cocktail glass. Add sparkling wine. Garnish with the strawberry.
Red Apple,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Canal Street Daisy,Collins Glass,14 to 16 ounces,Add Scotch and juices to ice-filled Collins glass and stir. Fill with soda water and stir again. Garnish with orange.
Canadian Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Purple Ruby,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass. Add grapefruit twist.
Canadian Cherry,Old-Fashioned Glass,6 to 8 ounces,Moisten rim of old-fashioned glass with maraschino liqueur. Fill with ice. Shake ingredients with ice and strain into glass.
Orange Smile,Red-Wine Glass,12 to 24 ounces,Shake with ice and strain into stem goblet.
Purple Passion Iced Tea,Highball Glass,7 to 10 ounces,Pour ingredients into ice-filled highball glass in order listed and stir. Add lemon twist.
Canadian Breeze,Old-Fashioned Glass,6 to 8 ounces,Shake with ice. Strain into ice-filled old-fashioned glass. Garnish with pineapple and cherry.
Purple Passion,Collins Glass,14 to 16 ounces,Shake with ice. Pour with ice into Collins glass.
Cameron's Kick Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Georgia Mint Julep,Collins Glass,14 to 16 ounces,Muddle mint and syrup in Collins glass. Fill with ice. Add brandy and peach-flavored brandy. Stir and garnish with additional mint.
California Lemonade,Collins Glass,14 to 16 ounces,"Shake first five ingredients with ice. Strain into shaved ice-filled Collins glass. Fill with soda water and garnish with orange, lemon, and cherry. Serve with straws."
Boston Side Car ,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Cablegram,Highball Glass,7 to 10 ounces,Stir first three ingredients in ice-filled highball glass. Fill with ginger ale.
Bull And Bear,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass. Garnish with cherry and orange.
Brooklyn,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass.
Brighton Punch,Collins Glass,14 to 16 ounces,Shake first five ingredients with ice and pour with ice into Collins glass. Fill with soda water and stir gently. Garnish with orange and lemon and serve with a straw.
Bourbon Renewal,Old-Fashioned Glass,6 to 8 ounces,Shake with ice. Strain into ice-filled old-fashioned glass.
Bourbon Highball,Highball Glass,7 to 10 ounces,Pour whiskey into ice-filled highball glass. Fill with ginger ale or soda water and stir. Add lemon twist.
Bourbon And Elder,Old-Fashioned Glass,6 to 8 ounces,Stir with ice and strain into chilled old-fashioned glass. Add lemon twist.
Bourbon Crusta,Cocktail Glass,6 or more ounces,Rim chilled cocktail glass with lemon and sugar. Curl the zest spiral in glass. Stir remaining ingredients with ice and strain into glass.
Bourbon Cooler,Old-Fashioned Glass,6 to 8 ounces,Shake with ice in mixing glass. Pour with ice into old-fashioned glass. Garnish with peach.
Froupe Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass.
Bourbon A La Creme,Old-Fashioned Glass,6 to 8 ounces,Stir ingredients with ice. Strain into chilled old-fashioned glass.
The Bone,Shot Glass,1 _ to 2 ounces,Shake with ice and strain into chilled shot glass.
Bobby Burns Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass. Add lemon twist.
Bloody Scotsman,Old-Fashioned Glass,6 to 8 ounces,"Mix ingredients together, stirring often, in a large container, adding salt to taste. Chill for at least 24 hours before serving. Serve in icefilled old-fashioned glasses."
White Cargo Cocktail,Old-Fashioned Glass,6 to 8 ounces,Shake until thoroughly mixed and add water or sauterne if the mixture if too thick. Serve in an old-fashioned glass.
Blood and Sand,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
The Blinker,Cocktail Glass,6 or more ounces,Shake and strain into cocktail glass. Garnish with grapefruit twist or raspberry.
Pike's Peak Cooler,Collins Glass,14 to 16 ounces,Shake with ice and strain into collins glass with cracked ice. Fill with cider and stir. Insert a spiral of orange or lemon peel (or both) and dangle over rim of glass.
Blarney Stone Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass. Add orange twist and olive.
Pacman,Collins Glass,14 to 16 ounces,"Add grenadine, lemon juice, and bitters to collins filled with ice. Top  with wedge of lime. with ginger ale. Notch an orange slice and slide down side of glass."
Lemonade (Golden),Collins Glass,14 to 16 ounces,"Shake with ice and strain into collins glass. Decorate with slices of orange and lemon, and a cherry."
Black Hawk,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass. Garnish with cherry.
Lemonade (Egg),Collins Glass,14 to 16 ounces,Shake and strain into collins glass over ice cubes. Add enough water to fill glass. Serve with straws.
Bensonhurst,Cocktail Glass,6 or more ounces,Swirl Cynar in chilled cocktail glass to coat inside; discard excess Cynar. Stir remaining ingredients with ice and strain into glass.
Chocolate Daisy,Stein,,Shake with ice and strain into stein or metal cup. Add ice cubes and decorate with fruit
The Beautiful Day,Old-Fashioned Glass,6 to 8 ounces,Shake with ice and strain into ice-filled old-fashioned glass. Garnish with edible flowers.
French Quarter,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass. Garnish with lemon.
Creme de Gin Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Creamy Screwdriver,Collins Glass,14 to 16 ounces,Combine all ingredients with a half-cup of crushed ice in an electric blender. Blend at low speed and pour into collins glass.
Creamy Orange,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Creamsicle,Collins Glass,14 to 16 ounces,"Fill a tall glass with ice, add the above ingredients, and stir."
Cowboy Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Beals Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass.
Coronation Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass.
Cornell Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Combo,Old-Fashioned Glass,6 to 8 ounces,Shake with ice and strain into old-fashioned glass over ice cubes.
Basin Street,Cocktail Glass,6 or more ounces,Shake well with ice and strain into chilled cocktail glass.
Cole's Raspberry Cream,Champagne Flute,6 to 8 ounces,Shake or blend.
Cognac Coupling,Old-Fashioned Glass,6 to 8 ounces,Shake with ice and strain into old-fashioned glass over ice cubes.
Coffee Sour,Sour Glass,5 to 6 ounces,Shake with ice and strain into sour glass.
Coffee Flip,Sour Glass,5 to 6 ounces,Shake with ice and strain into sour glass. Sprinkle a little nutmeg on top.
Coffee Cocktail,Sour Glass,5 to 6 ounces,Shake with ice and strain into sour glass. Sprinkle nutmeg on top.
Purple Mask,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Clove Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass.
Clover Leaf Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass. Serve with mint leaf on top.
Clover Club Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Priority Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass. Add lemon twist.
Clamato Cocktail,Old-Fashioned Glass,6 to 8 ounces,"Shake with ice, strain, and serve over ice cubes in old-fashioned glass."
Cider Eggnog,Collins Glass,14 to 16 ounces,Shake with ice and strain into collins glass. Then fill the glass with cider and stir. Sprinkle nutmeg on top.
Chocolate Soldier,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Chocolate Flip,Sour Glass,5 to 6 ounces,Shake with ice and strain into sour glass. Sprinkle a little nutmeg on top.
Chocolate Cocktail,Sour Glass,5 to 6 ounces,Shake with ice and strain into sour glass.
Chicago Fizz,Highball Glass,7 to 10 ounces,Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water and stir.
Pretty In Pink,Collins Glass,14 to 16 ounces,Shake first four ingredients and strain into ice-filled Collins glass. Top with soda water.
Cherry Wine Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Cherry Flip,Sour Glass,5 to 6 ounces,Shake with ice and strain into sour glass. Sprinkle a little nutmeg on top.
Cherry Cooler,Collins Glass,14 to 16 ounces,"Pour cherry vodka into collins glass over ice cubes. Fill with cola, add a slice of lemon, and stir."
Polynesian Cocktail,Cocktail Glass,6 or more ounces,Rim chilled cocktail glass with lime and sugar. Shake ingredients with ice and strain into glass.
Chateau Briand's Rum Cow,Collins Glass,14 to 16 ounces,Blend and strain into a collins glass.
Champagne Velvet,Champagne Flute,6 to 8 ounces,"See Black Velvet recipe on page 54.  Pour very carefully, in order given, into champagne flute so that the stout and champagne don't mix. "
Pink Pussycat,Highball Glass,7 to 10 ounces,Pour ingredients into ice-filled highball glass and stir.
