name,glass,glass-size,instructions
Glogg,Punch Cup,3 to 4 ounces,"Pour the wine into a kettle. Insert cheesecloth bag containing remaining ingredients and boil slowly for 15 minutes, stirring occasionally. Add 1 lb. each blanched almonds and seedless raisins and continue to boil for additional 15 minutes. Remove kettle from stove and place wire grill containing 1 lb. lump sugar over opening. Pour one 750-ml Brandy over sugar, making sure to saturate all of it. Then light sugar with match and let it flame. After sugar has melted, replace kettle cover to extinguish flame. Stir again and remove spice bag. Serve hot in punch cups with a few almonds and raisins."
Georgia Peach,Collins Glass,14 to 16 ounces,Stir first three ingredients in Collins glass. Add ice and stir again. Fill with lemonade.
Georgia Mule,Collins Glass,14 to 16 ounces,"Muddle 1 peach slice in Collins glass. Add vodka, lemon juice, and bitters, then stir. Fill with ice and ginger beer; stir again. Garnish with peach slice."
Gentle Ben,Collins Glass,14 to 16 ounces,Shake first three ingredients with ice and pour into ice-filled Collins glass. Fill with orange juice and stir. Garnish with orange and cherry.
East India Cocktail No. 1,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass. Add lemon twist and cherry.
General Harrison's Eggnog,Collins Glass,14 to 16 ounces,Shake with ice and strain into collins glass. Fill glass with red wine and stir. Sprinkle nutmeg on top.
Gables Collins,Collins Glass,14 to 16 ounces,Shake first four ingredients with ice and strain into ice-filled Collins glass. Fill with soda water. Garnish with lemon and pineapple.
Frozen Brandy and Rum,Old-Fashioned Glass,6 to 8 ounces,Combine ingredients with a cup of crushed ice in an electric blender and blend at low speed. Pour into old-fashioned glass.
Frozen Apple,Old-Fashioned Glass,6 to 8 ounces,Combine ingredients with a cup of crushed ice in an electric blender and blend at low speed. Pour into old-fashioned glass.
Frisky Witch,Old-Fashioned Glass,6 to 8 ounces,Stir in old-fashioned glass. Add ice and stir again. Garnish with licorice.
Froth Blower Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
French Martini,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Flatiron Martini,Cocktail Glass,6 or more ounces,Swirl triple sec in chilled cocktail glass to coat inside; discard excess triple sec. Stir vodka and Lillet with ice and strain into glass. Garnish with orange.
Favourite Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Electric Jam,Collins Glass,14 to 16 ounces,Pour first four ingredients into ice-filled Collins glass. Fill with lemon-lime soda and stir.
Fairy Belle Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Duke Cocktail,Champagne Flute,6 to 8 ounces,"Add first five ingredients, shake with ice. and strain into champagne flute. Fill with chilled champagne and stir."
Dreamy Dorini Smoking Martini,Cocktail Glass,6 or more ounces,Stir with ice and strain into a chilled cocktail glass. Add lemon twist.
Dubonnet Highball,Highball Glass,7 to 10 ounces,"Put Dubonnet in highball glass with two ice cubes and fill with ginger ale or carbonated water. Add a twist of lemon peel, if desired, and stir."
Dubonnet Fizz,Highball Glass,7 to 10 ounces,Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water and stir.
Dubonnet Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass. Add a twist of lemon peel.
Doctor Cook,Red-Wine Glass,12 to 24 ounces,Shake with ice and strain into wine glass.
Desert Sunrise,Collins Glass,14 to 16 ounces,Pour first three ingredients over crushed ice in Collins glass. Do not stir. Top with grenadine.
Dillatini,Cocktail Glass,6 or more ounces,A Martini substituting a dilly bean in place of the olive. See Martini on page 130.
Devil's Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass.
Derby Fizz,Highball Glass,7 to 10 ounces,Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water and stir.
Cubeltini,Cocktail Glass,6 or more ounces,"Muddle the cucumber, mint leaves, and syrup. Add vodka and lime juice. Shake and strain into chilled cocktail glass. Garnish with mint sprig."
Crocodile Cooler,Hurricane Glass,14 to 20 ounces,"Stir first five ingredients in hurricane glass. Add ice, fill with lemonlime soda, and stir again. Garnish with pineapple and cherry or lime wheel. Serve with a straw."
Cosmopolitan,Cocktail Glass,6 or more ounces,Shake well with ice and strain into chilled cocktail glass. Garnish with lime.
Dream Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Jean Lafitte Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Japanese Fizz,Highball Glass,7 to 10 ounces,Shake with ice and strain into highball glass over two cubes of ice. Fill with carbonated water and stir. Serve with slice of pineapple.
Citronella Cooler,Collins Glass,14 to 16 ounces,Stir in Collins glass. Add ice and stir again. Squeeze and add lime.
North Pole Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass. Top with whipped cream.
The Cinquecento,Cocktail Glass,6 or more ounces,Shake with ice. Strain through wire sieve into chilled cocktail glass. Add grapefruit twist.
New Orleans Gin Fizz,Highball Glass,7 to 10 ounces,Shake with ice and strain into highball glass with two ice cubes. Fill with carbonated water and stir.
Napoleon,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass.
Zombie,Collins Glass,14 to 16 ounces,Shake with ice and pour into chilled Collins glass. Garnish with mint.
