name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,instructions,glass,glass-size,all_measurements,all_ingredients
Dubonnet Fizz,Cocktail Classics,0.5, Juice of Orange,0.25, Juice of a Lemon,1, cherry-flavored brandy,2, Dubonnet,,,,,Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water and stir.,Highball Glass,7 to 10 ounces,"[0.5, 0.25, '1', '2', nan, nan]","[' Juice of Orange', ' Juice of a Lemon', ' cherry-flavored brandy', ' Dubonnet', nan, nan]"
Dubonnet Cocktail,Cocktail Classics,1.5, Dubonnet,0.75, Gin,1, Orange Bitters (if desired),,,,,,,Stir with ice and strain into cocktail glass. Add a twist of lemon peel.,Cocktail Glass,6 or more ounces,"[1.5, 0.75, '1', nan, nan, nan]","[' Dubonnet', ' Gin', ' Orange Bitters (if desired)', nan, nan, nan]"
Doctor Cook,Cocktail Classics,0.75, Gin,1, Lemon Juice,1, Maraschino,1, Egg White,,,,,Shake with ice and strain into wine glass.,Red-Wine Glass,12 to 24 ounces,"[0.75, '1', '1', '1', nan, nan]","[' Gin', ' Lemon Juice', ' Maraschino', ' Egg White', nan, nan]"
Desert Sunrise,Vodka,1.25, Vodka,1.5, Fresh orange juice,1.5, Pineapple Juice,1, Grenadine,,,,,Pour first three ingredients over crushed ice in Collins glass. Do not stir. Top with grenadine.,Collins Glass,14 to 16 ounces,"[1.25, 1.5, 1.5, '1', nan, nan]","[' Vodka', ' Fresh orange juice', ' Pineapple Juice', ' Grenadine', nan, nan]"
Dillatini,Cocktail Classics,1.5, Gin,0.75, Dry Vermouth,,,,,,,,,A Martini substituting a dilly bean in place of the olive. See Martini on page 130.,Cocktail Glass,6 or more ounces,"[1.5, 0.75, nan, nan, nan, nan]","[' Gin', ' Dry Vermouth', nan, nan, nan, nan]"
Devil's Cocktail,Cocktail Classics,0.5, Lemon Juice,1.5, Port,1.5, Dry Vermouth,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,"[0.5, 1.5, 1.5, nan, nan, nan]","[' Lemon Juice', ' Port', ' Dry Vermouth', nan, nan, nan]"
Derby Fizz,Cocktail Classics,0.5, Juice of a Lemon,1, Powdered Sugar,1, Whole Egg,2, Scotch,1, Triple Sec,,,Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water and stir.,Highball Glass,7 to 10 ounces,"[0.5, '1', '1', '2', '1', nan]","[' Juice of a Lemon', ' Powdered Sugar', ' Whole Egg', ' Scotch', ' Triple Sec', nan]"
Cubeltini,Vodka,3, Cucumber slices,5,Fresh mint leaves,1.5, Simple Syrup,2, Vodka,1, Fresh Lime Juice,, Fresh mint sprig,"Muddle the cucumber, mint leaves, and syrup. Add vodka and lime juice. Shake and strain into chilled cocktail glass. Garnish with mint sprig.",Cocktail Glass,6 or more ounces,"['3', '5', 1.5, '2', '1', nan]","[' Cucumber slices', 'Fresh mint leaves', ' Simple Syrup', ' Vodka', ' Fresh Lime Juice', ' Fresh mint sprig']"
Crocodile Cooler,Vodka,1.5, Citrus-flavored vodka,1, Melon liqueur,0.75, Triple Sec,0.75, Simple Syrup,1, Fresh lemon juice,," Lime soda, pineapple wedge, maraschino cherry or lime wheel","Stir first five ingredients in hurricane glass. Add ice, fill with lemonlime soda, and stir again. Garnish with pineapple and cherry or lime wheel. Serve with a straw.",Hurricane Glass,14 to 20 ounces,"[1.5, '1', 0.75, 0.75, '1', nan]","[' Citrus-flavored vodka', ' Melon liqueur', ' Triple Sec', ' Simple Syrup', ' Fresh lemon juice', ' Lime soda, pineapple wedge, maraschino cherry or lime wheel']"
Cosmopolitan,Vodka,1.5, Vodka,0.5, Fresh Lime Juice,0.5, Triple Sec,0.5, Cranberry Juice,, Lime wheel,,,Shake well with ice and strain into chilled cocktail glass. Garnish with lime.,Cocktail Glass,6 or more ounces,"[1.5, 0.5, 0.5, 0.5, nan, nan]","[' Vodka', ' Fresh Lime Juice', ' Triple Sec', ' Cranberry Juice', ' Lime wheel', nan]"
Dream Cocktail,Brandy,1.5, Brandy,0.75, Triple Sec,1, Anisette,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces,"[1.5, 0.75, '1', nan, nan, nan]","[' Brandy', ' Triple Sec', ' Anisette', nan, nan, nan]"
Jean Lafitte Cocktail,Cocktail Classics,1, Gin,0.5, Triple Sec,0.5, Anis,1, Powdered Sugar,1, Egg Yolk,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,"['1', 0.5, 0.5, '1', '1', nan]","[' Gin', ' Triple Sec', ' Anis', ' Powdered Sugar', ' Egg Yolk', nan]"
Japanese Fizz,Cocktail Classics,0.5, Juice of a Lemon,1, Powdered Sugar,1.5, Blended whiskey,1, Port,1, Egg White,,,Shake with ice and strain into highball glass over two cubes of ice. Fill with carbonated water and stir. Serve with slice of pineapple.,Highball Glass,7 to 10 ounces,"[0.5, '1', 1.5, '1', '1', nan]","[' Juice of a Lemon', ' Powdered Sugar', ' Blended whiskey', ' Port', ' Egg White', nan]"
Citronella Cooler,Vodka,1, Citrus-flavored vodka,1, Fresh Lime Juice,2, Lemonade,1, Cranberry Juice,, Lime wedge,,,Stir in Collins glass. Add ice and stir again. Squeeze and add lime.,Collins Glass,14 to 16 ounces,"['1', '1', '2', '1', nan, nan]","[' Citrus-flavored vodka', ' Fresh Lime Juice', ' Lemonade', ' Cranberry Juice', ' Lime wedge', nan]"
North Pole Cocktail,Cocktail Classics,1, Egg White,0.5, Lemon Juice,0.5, Maraschino,1, Gin,,,,,Shake with ice and strain into cocktail glass. Top with whipped cream.,Cocktail Glass,6 or more ounces,"['1', 0.5, 0.5, '1', nan, nan]","[' Egg White', ' Lemon Juice', ' Maraschino', ' Gin', nan, nan]"
The Cinquecento,Vodka,1.5, Bison grass vodka (Zubrowka),0.5, Benedictine,0.5, Campari,0.75, Fresh grapefruit juice,1, Angostura Bitters,, Grapefruit twist,Shake with ice. Strain through wire sieve into chilled cocktail glass. Add grapefruit twist.,Cocktail Glass,6 or more ounces,"[1.5, 0.5, 0.5, 0.75, '1', nan]","[' Bison grass vodka (Zubrowka)', ' Benedictine', ' Campari', ' Fresh grapefruit juice', ' Angostura Bitters', ' Grapefruit twist']"
New Orleans Gin Fizz,Cocktail Classics,0.5, Juice of a Lemon,0.5, Juice of a Lime,1, Powdered Sugar,1, Egg White,2, Gin,1," Light cream, 1/2 oz",Shake with ice and strain into highball glass with two ice cubes. Fill with carbonated water and stir.,Highball Glass,7 to 10 ounces,"[0.5, 0.5, '1', '1', '2', '1']","[' Juice of a Lemon', ' Juice of a Lime', ' Powdered Sugar', ' Egg White', ' Gin', ' Light cream, 1/2 oz']"
Napoleon,Cocktail Classics,2, Gin,0.5, Curacao,0.5, Dubonnet,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,"['2', 0.5, 0.5, nan, nan, nan]","[' Gin', ' Curacao', ' Dubonnet', nan, nan, nan]"
Zombie,Rum - Daiquiris,1, Gold rum,1, 151-Proof Rum,1, Light Rum,1," each Fresh Lime Juice, lemon juice, pineapple juie, and passion fruit syrup",2, Demerara Syrup,1, Tiki (such as Bittermen's 'Elemakule) or Angostura bitters (optional) Garnish: Fresh mint sprig,Shake with ice and pour into chilled Collins glass. Garnish with mint.,Collins Glass,14 to 16 ounces,"['1', '1', '1', '1', '2', '1']","[' Gold rum', ' 151-Proof Rum', ' Light Rum', ' each Fresh Lime Juice, lemon juice, pineapple juie, and passion fruit syrup', ' Demerara Syrup', "" Tiki (such as Bittermen's 'Elemakule) or Angostura bitters (optional) Garnish: Fresh mint sprig""]"
Kiss the Boys Goodbye,Cocktail Classics,0.75, Sloe gin,0.75, Brandy,0.5, Egg White,1, Juice of a Lemon,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,"[0.75, 0.75, 0.5, '1', nan, nan]","[' Sloe gin', ' Brandy', ' Egg White', ' Juice of a Lemon', nan, nan]"
X.Y.Z. Cocktail,Rum - Daiquiris,1, Light Rum,0.5, Triple Sec,0.5, Fresh lemon juice,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces,"['1', 0.5, 0.5, nan, nan, nan]","[' Light Rum', ' Triple Sec', ' Fresh lemon juice', nan, nan, nan]"
K.G.B. Cocktail,Cocktail Classics,0.5, Kummel,1.5, Gin,0.25, Apricot-Flavored Brandy,0.25, Lemon Juice,,,,,Shake with ice and strain into cocktail glass. Add a twist of lemon peel.,Cocktail Glass,6 or more ounces,"[0.5, 1.5, 0.25, 0.25, nan, nan]","[' Kummel', ' Gin', ' Apricot-Flavored Brandy', ' Lemon Juice', nan, nan]"
Eye-Opener,Cocktail Classics,1, Egg Yolk,0.5, Powdered Sugar,1, Anis,1, Triple Sec,1, White creme de cacao,2, Light Rum,Shake with ice and strain into sour glass.,Sour Glass,5 to 6 ounces,"['1', 0.5, '1', '1', '1', '2']","[' Egg Yolk', ' Powdered Sugar', ' Anis', ' Triple Sec', ' White creme de cacao', ' Light Rum']"
Wiki Waki Woo,Rum - Daiquiris,0.5, Light Rum,0.5, 151-Proof Rum,0.5," each Vodka, tequila blanco, triple sec",1, Amaretto,1," each Fresh orange juice, pineapple juice, cranberry juice",," Orange wheel, maraschino cherry","Stir all ingredients with ice. Pour, with ice, into hurricane or parfait glass. Add orange and cherry.",Hurricane Glass,14 to 20 ounces,"[0.5, 0.5, 0.5, '1', '1', nan]","[' Light Rum', ' 151-Proof Rum', ' each Vodka, tequila blanco, triple sec', ' Amaretto', ' each Fresh orange juice, pineapple juice, cranberry juice', ' Orange wheel, maraschino cherry']"
Elk's Own Cocktail,Cocktail Classics,1, Egg White,1.5, Blended whiskey,0.75, Port,0.25, Juice of a Lemon,1, Powdered Sugar,,,Shake with ice and strain into cocktail glass. Add a strip of pineapple.,Cocktail Glass,6 or more ounces,"['1', 1.5, 0.75, 0.25, '1', nan]","[' Egg White', ' Blended whiskey', ' Port', ' Juice of a Lemon', ' Powdered Sugar', nan]"
Eggnog Supreme,Cocktail Classics,1, Medium Eggs,1, Sugar,1.5, Whole milk,1," Heavy Cream, Whipped",18975.0, Cognac,, Powdered Nutmeg,"Separate eggs; beat yolks in large serving bowl, adding sugar while beating. Stir in milk and cream. Slowly add cognac and refrigerate for 1 hour. Before serving, whip egg whites stiff. Mix into eggnog, dust with nutmeg.",Punch Cup,3 to 4 ounces,"['1', '1', 1.5, '1', 18975.0, nan]","[' Medium Eggs', ' Sugar', ' Whole milk', ' Heavy Cream, Whipped', ' Cognac', ' Powdered Nutmeg']"
Egg Sour,Cocktail Classics,1, Whole Egg,1, Powdered Sugar,0.5, Juice of a Lemon,2, Brandy,0.25, Triple Sec,,,Shake with ice and strain into old-fashioned glass.,Old-Fashioned Glass,6 to 8 ounces,"['1', '1', 0.5, '2', 0.25, nan]","[' Whole Egg', ' Powdered Sugar', ' Juice of a Lemon', ' Brandy', ' Triple Sec', nan]"
White Lion Cocktail,Cocktail Classics,1.5, Light Rum,1, Fresh lemon juice,0.5, Simple Syrup,1, Grenadine,2, Angostura Bitters,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces,"[1.5, '1', 0.5, '1', '2', nan]","[' Light Rum', ' Fresh lemon juice', ' Simple Syrup', ' Grenadine', ' Angostura Bitters', nan]"
White Lily Cocktail,Rum - Daiquiris,0.75, Light Rum,0.75, Triple Sec,0.75, Gin,1, Anisette,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces,"[0.75, 0.75, 0.75, '1', nan, nan]","[' Light Rum', ' Triple Sec', ' Gin', ' Anisette', nan, nan]"
Ice Cream Flip,Rum - Daiquiris,1, Whole Egg,1, Maraschino,1, Triple Sec,1 small Vanilla Ice Cream,,,,,,Shake with ice and strain into sour glass. Sprinkle a little nutmeg on top.,Sour Glass,5 to 6 ounces,"['1', '1', '1', '1 small Vanilla Ice Cream', nan, nan]","[' Whole Egg', ' Maraschino', ' Triple Sec', nan, nan, nan]"
Outrigger,Cocktail Classics,1, Peach-flavored brandy,1, Lime Vodka,1, Pineapple Juice,,,,,,,Shake with ice and strain into old-fashioned glass over ice cubes.,Old-Fashioned Glass,6 to 8 ounces,"['1', '1', '1', nan, nan, nan]","[' Peach-flavored brandy', ' Lime Vodka', ' Pineapple Juice', nan, nan, nan]"
Opera Cocktail,Cocktail Classics,1, Maraschino,0.5, Dubonnet,1.5, Gin,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,"['1', 0.5, 1.5, nan, nan, nan]","[' Maraschino', ' Dubonnet', ' Gin', nan, nan, nan]"
Virginia Dare,Rum - Daiquiris,2, Ripe pear,2, Dark rum,0.5, Benedictine,2, Angostura Bitters,,,,,Muddle 1 pear slice in mixing glass. Add remaining ingredients. Shake with ice and strain through a fine wire sieve into chilled cocktail glass. Garnish with remaining pear slice.,Cocktail Glass,6 or more ounces,"['2', '2', 0.5, '2', nan, nan]","[' Ripe pear', ' Dark rum', ' Benedictine', ' Angostura Bitters', nan, nan]"
Opening Cocktail,Cocktail Classics,0.5, Grenadine,0.5, Sweet Vermouth,1.5, Blended whiskey,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,"[0.5, 0.5, 1.5, nan, nan, nan]","[' Grenadine', ' Sweet Vermouth', ' Blended whiskey', nan, nan, nan]"
Queen Bee,Cocktail Classics,1.5, Lime Vodka,1, Coffee-flavored brandy,0.5, Cream sherry,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,"[1.5, '1', 0.5, nan, nan, nan]","[' Lime Vodka', ' Coffee-flavored brandy', ' Cream sherry', nan, nan, nan]"
Van Vleet,Rum - Daiquiris,3, Light Rum,1, Maple Syrup,1, Fresh lemon juice,,,,,,,Shake with ice and strain into ice-filled old-fashioned glass.,Old-Fashioned Glass,6 to 8 ounces,"['3', '1', '1', nan, nan, nan]","[' Light Rum', ' Maple Syrup', ' Fresh lemon juice', nan, nan, nan]"
Zaza Cocktail,Cocktail Classics,1.5, Gin,0.75, Dubonnet,,,,,,,,,Stir with ice and strain into cocktail glass. Add a twist of orange peel.,Cocktail Glass,6 or more ounces,"[1.5, 0.75, nan, nan, nan, nan]","[' Gin', ' Dubonnet', nan, nan, nan, nan]"
The Vacation Cocktail,Rum - Daiquiris,1, Peeled and chopped fresh ginger,0.75, Fresh Lime Juice,0.5," each Simple Syrup, light rum, dark rum",1, Mango juice,0.5," each Cranberry Juice, orange juice, spiced rum",, Mango slice,"Muddle ginger, lime juice, and syrup in mixing glass. Add all but spiced rum. Shake with ice. Strain into chilled cocktail glass and float spiced rum on top. Garnish with mango.",Cocktail Glass,6 or more ounces,"['1', 0.75, 0.5, '1', 0.5, nan]","[' Peeled and chopped fresh ginger', ' Fresh Lime Juice', ' each Simple Syrup, light rum, dark rum', ' Mango juice', ' each Cranberry Juice, orange juice, spiced rum', ' Mango slice']"
Dolores,Brandy,1," Brandy, preferably Spanish",1, Cherry liqueur,1, White or dark creme de cacao,1, Egg White,, Freshly grated nutmeg,,,Shake without ice. shake with ice and strain into a chilled champagne flute. Top with nutmeg.,Champagne Flute,6 to 8 ounces,"['1', '1', '1', '1', nan, nan]","[' Brandy, preferably Spanish', ' Cherry liqueur', ' White or dark creme de cacao', ' Egg White', ' Freshly grated nutmeg', nan]"
Vesuvio,Cocktail Classics,1, Light Rum,0.5, Juice of a Lemon,1, Powdered Sugar,0.5, Egg White,0.5, Sweet Vermouth,,,Shake with ice and strain into old-fashioned glass over ice cubes.,Old-Fashioned Glass,6 to 8 ounces,"['1', 0.5, '1', 0.5, 0.5, nan]","[' Light Rum', ' Juice of a Lemon', ' Powdered Sugar', ' Egg White', ' Sweet Vermouth', nan]"
Urban Anxiety,Rum,1, Cachaca,1, Sweet Vermouth,0.75, Cynar,2, Angostura Bitters,," Grapefruit twist, flamed",,,Stir with ice and strain into chilled cocktail glass. Flame grapefruit twist and add.,Cocktail Glass,6 or more ounces,"['1', '1', 0.75, '2', nan, nan]","[' Cachaca', ' Sweet Vermouth', ' Cynar', ' Angostura Bitters', ' Grapefruit twist, flamed', nan]"
Virgin,Cocktail Classics,1, Gin,0.5, White creme de menthe,1, Forbidden Fruit,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,"['1', 0.5, '1', nan, nan, nan]","[' Gin', ' White creme de menthe', ' Forbidden Fruit', nan, nan, nan]"
Tropica Cocktail,Rum - Daiquiris,2, Light Rum,3, Pineapple Juice,1, Fresh grapefruit juice,1, Grenadine,, Pineapple wedge,,,Mix ingredients in ice-filled Collins glass. Add pineapple wedge.,Collins Glass,14 to 16 ounces,"['2', '3', '1', '1', nan, nan]","[' Light Rum', ' Pineapple Juice', ' Fresh grapefruit juice', ' Grenadine', ' Pineapple wedge', nan]"
Vermouth Cassis,Cocktail Classics,0.75, Creme de Cassis,1.5, Dry Vermouth,,,,,,,,,Stir in highball glass with ice cubes and Fill with carbonated water. Stir again and serve.,Highball Glass,7 to 10 ounces,"[0.75, 1.5, nan, nan, nan, nan]","[' Creme de Cassis', ' Dry Vermouth', nan, nan, nan, nan]"
Verboten,Cocktail Classics,1.5, Gin,1, Forbidden Fruit,1, Orange Juice,1, Lemon Juice,,,,,Shake with ice and strain into cocktail glass. Add brandied cherry.,Cocktail Glass,6 or more ounces,"[1.5, '1', '1', '1', nan, nan]","[' Gin', ' Forbidden Fruit', ' Orange Juice', ' Lemon Juice', nan, nan]"
Velvet Hammer No. 2,Cocktail Classics,1.5, Strega,1, White creme de cacao,1, Light cream,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,"[1.5, '1', '1', nan, nan, nan]","[' Strega', ' White creme de cacao', ' Light cream', nan, nan, nan]"
Velvet Hammer No. 1,Cocktail Classics,1.5, Vodka,1, Creme de Cacao,1, Light cream,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,"[1.5, '1', '1', nan, nan, nan]","[' Vodka', ' Creme de Cacao', ' Light cream', nan, nan, nan]"
Ulanda Cocktail,Cocktail Classics,1.5, Gin,0.75, Triple Sec,0.25, Anis,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,"[1.5, 0.75, 0.25, nan, nan, nan]","[' Gin', ' Triple Sec', ' Anis', nan, nan, nan]"
Torridora Cocktail,Rum - Daiquiris,1.5, Light Rum,0.5, Coffee-flavored brandy,1.5, half-and-half,1, 151-Proof Rum,,,,,Shake first three ingredients with ice and strain into chilled cocktail glass. Float 151-proof rum on top.,Cocktail Glass,6 or more ounces,"[1.5, 0.5, 1.5, '1', nan, nan]","[' Light Rum', ' Coffee-flavored brandy', ' half-and-half', ' 151-Proof Rum', nan, nan]"
Boston Sour,Cocktail Classics,0.5, Juice of a Lemon,1, Powdered Sugar,2, Blended whiskey,1, Egg White,,,,,Shake with cracked ice and strain into sour glass. Add a slice of lemon and a cherry.,Sour Glass,5 to 6 ounces,"[0.5, '1', '2', '1', nan, nan]","[' Juice of a Lemon', ' Powdered Sugar', ' Blended whiskey', ' Egg White', nan, nan]"
Three Miller Cocktail,Rum - Daiquiris,3, Fresh cherry tomatoes,2, Dark rum,1, Fresh Lime Juice,1, Simple Syrup,1, Angostura Bitters,,,Muddle tomatoes in mixing glass. Add remaining ingredients. Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces,"['3', '2', '1', '1', '1', nan]","[' Fresh cherry tomatoes', ' Dark rum', ' Fresh Lime Juice', ' Simple Syrup', ' Angostura Bitters', nan]"
Bird-of-Paradise Fizz,Cocktail Classics,0.5, Juice of a Lemon,1, Powdered Sugar,1, Egg White,1, Grenadine,2, Gin,,,Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water.,Highball Glass,7 to 10 ounces,"[0.5, '1', '1', '1', '2', nan]","[' Juice of a Lemon', ' Powdered Sugar', ' Egg White', ' Grenadine', ' Gin', nan]"
Biffy Cocktail,Cocktail Classics,0.5, Juice of a Lemon,1, Swedish Punch,1.5, Gin,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,"[0.5, '1', 1.5, nan, nan, nan]","[' Juice of a Lemon', ' Swedish Punch', ' Gin', nan, nan, nan]"
Between-The-Sheets Cocktail,Cocktail Classics,0.25, Juice of a Lemon,0.5, Brandy,0.5, Triple Sec,0.5, Light Rum,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,"[0.25, 0.5, 0.5, 0.5, nan, nan]","[' Juice of a Lemon', ' Brandy', ' Triple Sec', ' Light Rum', nan, nan]"
Third-Rail Cocktail,Rum - Daiquiris,0.75, Light Rum,0.75, Apple Brandy,0.75, Brandy,0.25, Anisette,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces,"[0.75, 0.75, 0.75, 0.25, nan, nan]","[' Light Rum', ' Apple Brandy', ' Brandy', ' Anisette', nan, nan]"
Bentley,Cocktail Classics,1.5, Apple Brandy,1, Dubonnet,,,,,,,,,Stir with cracked ice and strain into cocktail glass. Add a twist of lemon peel.,Cocktail Glass,6 or more ounces,"[1.5, '1', nan, nan, nan, nan]","[' Apple Brandy', ' Dubonnet', nan, nan, nan, nan]"
Tahiti Club,Rum - Daiquiris,2, Light Rum,0.5, Fresh lemon juice,0.5, Fresh Lime Juice,0.5, Pineapple Juice,0.25, Maraschino liqueur,, Lemon wheel,Shake with ice and strain into ice-filled old-fashioned glass. Add lemon.,Old-Fashioned Glass,6 to 8 ounces,"['2', 0.5, 0.5, 0.5, 0.25, nan]","[' Light Rum', ' Fresh lemon juice', ' Fresh Lime Juice', ' Pineapple Juice', ' Maraschino liqueur', ' Lemon wheel']"
Barton Special,Cocktail Classics,0.5, Applejack,0.25, Scotch,0.25, Gin,,,,,,,Shake with ice and strain into old-fashioned glass over ice cubes.,Old-Fashioned Glass,6 to 8 ounces,"[0.5, 0.25, 0.25, nan, nan, nan]","[' Applejack', ' Scotch', ' Gin', nan, nan, nan]"
Barnaby's Buffalo Blizzard,Cocktail Classics,1, White creme de cacao,0.75, Vodka,1, Galliano, Vanilla Ice Cream,,1, Grenadine,, Whipped cream and 3/4 oz,Shake or blend. Serve in a collins glass.,Collins Glass,14 to 16 ounces,"['1', 0.75, '1', ' Vanilla Ice Cream', '1', nan]","[' White creme de cacao', ' Vodka', ' Galliano', nan, ' Grenadine', ' Whipped cream and 3/4 oz']"
Susie Taylor,Rum - Daiquiris,2, Light Rum,0.5, Fresh Lime Juice,, Ginger ale,,,,,,,Pour rum and lime juice into ice-filled Collins glass. Fill with ginger ale and stir.,Collins Glass,14 to 16 ounces,"['2', 0.5, nan, nan, nan, nan]","[' Light Rum', ' Fresh Lime Juice', ' Ginger ale', nan, nan, nan]"
Baltimore Bracer,Cocktail Classics,1, Anisette,1, Brandy,1, Egg White,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,"['1', '1', '1', nan, nan, nan]","[' Anisette', ' Brandy', ' Egg White', nan, nan, nan]"
Bachelor's Bait Cocktail,Cocktail Classics,1.5, Gin,1, Egg White,1, Orange Bitters,0.5, Grenadine,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,"[1.5, '1', '1', 0.5, nan, nan]","[' Gin', ' Egg White', ' Orange Bitters', ' Grenadine', nan, nan]"
Bushranger,Cocktail Classics,1.5, Light Rum,1, Dubonnet,1, Bitters,,,,,,,Stir with cracked ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,"[1.5, '1', '1', nan, nan, nan]","[' Light Rum', ' Dubonnet', ' Bitters', nan, nan, nan]"
Sunset at Gowanus,Rum - Daiquiris,2, Dark rum,0.75, Fresh Lime Juice,0.5, Maple Syrup,0.25, Brandy,0.25, Yellow Chartreuse,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces,"['2', 0.75, 0.5, 0.25, 0.25, nan]","[' Dark rum', ' Fresh Lime Juice', ' Maple Syrup', ' Brandy', ' Yellow Chartreuse', nan]"
Bulldog Highballl,Cocktail Classics,0.5, Juice of Orange,2, Gin,,,,,,,,,Pour into highball glass over ice cubes and fill with ginger ale. Stir.,Highball Glass,7 to 10 ounces,"[0.5, '2', nan, nan, nan, nan]","[' Juice of Orange', ' Gin', nan, nan, nan, nan]"
Bucks Fizz (Mimosa),Cocktail Classics,2, Orange Juice,, Chilled Champagne,,,,,,,,,"Pour 2 oz. orange juice in a collins glass over two cubes of ice, fill with Chilled Champagne, and stir very gently.",Collins Glass,14 to 16 ounces,"['2', nan, nan, nan, nan, nan]","[' Orange Juice', ' Chilled Champagne', nan, nan, nan, nan]"
Buckjones,Cocktail Classics,1.5, Light Rum,1, Sweet Sherry,0.5, Juice of a Lime,,,,,,,Pour ingredients into highball glass over ice cubes and stir. Fill with ginger ale.,Highball Glass,7 to 10 ounces,"[1.5, '1', 0.5, nan, nan, nan]","[' Light Rum', ' Sweet Sherry', ' Juice of a Lime', nan, nan, nan]"
Stormy Colada,Rum - Daiquiris,2, Dark rum,2, Pineapple Juice,, Ginger beer," Skewered pineapple wedge, mint sprig, candied ginger slice",,,,,,Add rum and pineapple juice to ice-filled highball glass. Fill with ginger beer and stir. Add skewered garnish.,Highball Glass,7 to 10 ounces,"['2', '2', nan, ' Skewered pineapple wedge, mint sprig, candied ginger slice', nan, nan]","[' Dark rum', ' Pineapple Juice', ' Ginger beer', nan, nan, nan]"
Bronx SIlver Cocktail,Cocktail Classics,0.5, Juice of Orange,1, Egg White,0.5, Dry Vermouth,1, Gin,,,,,Shake with ice and strain into sour glass.,Sour Glass,5 to 6 ounces,"[0.5, '1', 0.5, '1', nan, nan]","[' Juice of Orange', ' Egg White', ' Dry Vermouth', ' Gin', nan, nan]"
Bronx Golden Cocktail,Cocktail Classics,1, Gin,0.5, Sweet Vermouth,0.5, Dry Vermouth,0.25, Orange,,,,,Same as Bronx Cocktail with the addition of one egg yolk. Use sour glass.,Sour Glass,5 to 6 ounces,"['1', 0.5, 0.5, 0.25, nan, nan]","[' Gin', ' Sweet Vermouth', ' Dry Vermouth', ' Orange', nan, nan]"
Stone Wall,Rum - Daiquiris,3 slices,thin Peeled fresh ginger,0.75, Demerara Syrup,1.5, Fresh apple cider,1.5, Light Rum,, Jamaican ginger beer,," Green apple slice, lime wedge",Muddle ginger and syrup in mixing glass. Add cider and rum and shake with ice. Strain into ice-filled old-fashioned glass and fill with ginger beer. Add apple and lime.,Old-Fashioned Glass,6 to 8 ounces,"['3 slices', 0.75, 1.5, 1.5, nan, nan]","['thin Peeled fresh ginger', ' Demerara Syrup', ' Fresh apple cider', ' Light Rum', ' Jamaican ginger beer', ' Green apple slice, lime wedge']"
Depth Bomb,Brandy,1, Apple Brandy,1, Brandy,1, Fresh lemon juice,1, Grenadine,,,,,Shake with ice and strain into ice-filled old-fashioned glass.,Old-Fashioned Glass,6 to 8 ounces,"['1', '1', '1', '1', nan, nan]","[' Apple Brandy', ' Brandy', ' Fresh lemon juice', ' Grenadine', nan, nan]"
Stone Cocktail,Rum - Daiquiris,1, Dry Sherry,0.5, Light Rum,0.5, Sweet Vermouth,,,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces,"['1', 0.5, 0.5, nan, nan, nan]","[' Dry Sherry', ' Light Rum', ' Sweet Vermouth', nan, nan, nan]"
